AW,D,PD,MD,F,FM,ZN,DE,IN,O,VI,DI,LAB_CODE,TEST_RESULT_VALUE
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,6.1,7.5,LT,249.9
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,5.9,7.5,LT,256.5
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,7.6,7.5,LT,333.2
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,7.6,7.5,LT,309.3
0.0,0.0,0.3,0.0,0.02,0.0,1.356,4.458,0.193,0.0,7,10.695,LT,196
0.0,0.0,0.3,0.0,0.02,0.0,1.356,4.458,0.193,0.0,0.0,10.695,LT,316.6
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,0.0,7.5,LT,211.9
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,0.0,7.5,LT,280.9
0.0,0.0,0.0,0.0,0.025,0.0,1.42,3.138,0.2,0.0,0.0,8,LT,274.4
0.0,0.0,0.15,0.0,0.005,0.0,0.847,3.43,0.188,0.0,0.0,4.841,LT,289.1
0.0,0.0,0.15,0.0,0.025,0.0,1.377,3.851,0.95,0.0,10.7,8.3,LT,198
0.0,0.0,0.0,0.0,0.025,0.0,1.269,3.387,0.692,0.0,0.0,7.8,LT,276.2
0.0,0.0,0.8,0.0,0.025,0.0,0.86,4.002,1.7,0.0,10.4,5.5,LT,267.9
0.0,0.0,0.0,0.0,0.025,0.0,0.86,4.002,1.7,0,0,5.5,LT,350.4
0.0,0.0,0.15,0.0,0.025,0.0,1.377,3.851,0.95,0.0,10.7,8.3,LT,284.8
0.0,0.0,0.0,0.0,0.01,0.0,1.285,3.61,0.157,0.0,8.9,6.805,LT,344.3
0.0,0.0,0.0,0.0,0.025,0.0,1.377,4.295,0.5,0.0,0.0,7,LT,245.3
0.0,0.6,0.3,0.0,0.019,0.0,0.952,3.971,0.353,0.0,7.1,5.849,LT,1241.3
0.0,0.6,0.3,0.0,0.019,0.0,0.952,3.971,0.353,0.0,7.1,5.849,LT,271.6
0.0,0.0,0.2,0.0,0.025,0.0,1.269,3.337,0.2,0.0,8.4,7.8,LT,200
0.0,0.0,0.15,0.0,0.025,0.0,1.377,3.851,0.95,0.0,11,8.3,LT,254.2
0.0,0.0,0.0,0.0,0.025,0.0,1.377,4.295,0.2,0.0,8.2,7,LT,162.8
0.0,0.0,0.0,0.0,0.025,0.0,1.377,4.295,0.2,0.0,8.2,7,LT,241.6
0.0,0.0,0.0,0.0,0.025,0.0,1.377,3.68,0.2,0.0,7.5,8,LT,237.6
0.0,0.0,0.0,0.0,0.025,0.0,1.377,3.68,0.2,0.0,7.5,8,LT,228
0.0,0.0,0.0,0.0,0.025,0.0,1.377,3.028,0.7,0.0,7.2,8,LT,212.7
0.0,0.0,0.0,0.0,0.025,0.0,1.377,3.028,0.7,0.0,7.2,8,LT,245
0.0,0.0,0.5,0.0,0.025,0.0,0.86,4.002,1.7,0.0,14.1,5.5,LT,234
0.0,0.0,0.15,0.0,0.025,0.0,1.377,3.851,0.95,0.0,10.8,8.3,LT,173.8
0.0,0.0,0.0,0.0,0.025,0.0,1.377,4.295,0.2,0.0,9.5,7,LT,213.3
0.0,0.0,0.0,0.0,0.025,0.0,1.42,3.138,0.2,0.0,0.0,8,LT,259.7
0.0,1.2,0.0,0.0,0.025,0.0,1.377,3.569,0.7,0.0,7.6,8,LT,187.8
0.0,0.0,0.0,0.0,0.025,0.0,1.377,3.569,0.7,0.0,7,5,LT,228
0.0,0.0,0.0,0.0,0.025,0.0,1.377,3.569,0.7,0.0,12.2,5,EG,207
0.0,0.0,0.3,0.0,0.02,0.0,1.377,4.512,0.45,0.03,7,10,LT,230.6
0.0,0.0,0.0,0.0,0.025,0.0,1.377,3.028,0.7,0.0,7.4,8,LT,284.7
0.0,0.0,0.34,0.0,0.025,0.0,1.377,3.786,0.825,0.0,13.08,8,LT,223.8
0.0,0.0,0.0,0.0,0.025,0.0,1.392,3.466,0.449,0.0,7.733,5.902,LT,190.3
0.0,0.0,0.2,0.0,0.025,0.0,1.377,3.786,0.825,0.0,17,8,LT,191.6
0.0,0.0,0.2,0.0,0.05,0.0,1.11,4.473,0.4,0.0,9.9,5.5,LT,298.6
0.0,0.0,0.0,0.0,0.025,0.0,1.377,2.928,0.2,0.0,0.0,8,LT,237.9
0.0,0.0,0.0,0.0,0.025,0.0,1.377,3.464,0.2,0.0,0.0,8,LT,379.7
0.0,0.0,0.0,0.0,0.025,0.0,1.377,2.928,0.2,0.0,7.6,8,LT,227.4
0.0,0.0,0.3,0.0,0.01,0.514,1.271,3.659,0.155,0.0,8.8,6.015,LT,333.7
0.0,0.0,0.3,0.0,0.01,0.514,1.271,3.659,0.155,0.0,8.8,6.015,LT,362.8
0.0,0.0,0.15,0.0,0.025,0.0,1.377,3.851,0.95,0.0,11.1,8.865,LT,284.7
0.0,0.0,0.3,0.0,0.02,0.0,1.377,4.512,0.45,0.03,7,10,LT,220.9
0.0,0.0,0.2,0.0,0.025,0.0,1.398,4.346,0.199,0.0,8.5,4.743,LT,276.5
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,0.0,7.5,LT,242.6
0.0,0.0,0.3,0.0,0.02,0.0,1.271,4.198,0.029,0.0,15.6,3.935,LT,486.5
0.0,0.0,0.0,0.0,0.01,0.514,1.271,3.659,0.153,0.0,8.9,6.2,LT,218.8
0.0,0.0,0.2,0.0,0.025,0.0,1.249,3.102,0.199,0.0,7.12,4.925,LT,234.7
0.0,0.0,0.0,0.0,0.025,0.0,1.332,3.4,0.7,0.0,7.6,7.608,LT,165.9
0.0,0.0,0.0,0.0,0.025,0.0,1.549,4.512,1,0.0,6.5,7,LT,219.7
0.0,0.0,0.2,0.0,0.025,0.0,1.398,4.346,0.199,0.0,8.5,4.743,LT,209.4
0.0,0.0,0.0,0.0,0.025,0.0,1.398,3.5,0.699,0.0,7.5,7.8,LT,235.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,LT,256
0.0,0.0,0.2,0.0,0.05,0.0,1.11,4.473,0.4,0.0,9.9,5.5,LT,293.7
0.0,0.0,0.2,0.0,0.05,0.0,1.11,4.473,0.4,0.0,9.9,5.5,LT,1014.1
0.0,0.0,0.3,0.0,0.019,0.0,1.196,3.955,0.027,0.0,15.6,3.746,LT,304.5
0.0,0.0,0.3,0.0,0.02,0.0,1.377,4.512,0.45,0.03,7,10,LT,250
0.0,0.0,0.2,0.0,0.025,0.0,1.249,3.088,0.199,0.0,7.12,4.925,LT,248.2
0.0,0.0,0.0,0.0,0.05,0.0,1.377,3.851,0.95,0.0,6.9,8.3,LT,201.5
0.0,0.0,0.0,0.0,0.025,0.0,1.485,4.179,1.415,0.0,5.8,7.8,LT,275.1
0.0,0.648,0.0,0.0,0.025,0.0,1.573,3.446,0.699,0.0,5,6.832,LT,276.8
0.0,0.0,0.3,0.0,0.02,0.0,1.25,4.191,0.029,0.0,16.6,4.089,LT,443.3
0.0,0.0,0.0,0.0,0.025,0.0,1.573,5.025,1.21,0.0,5.9,6.832,LT,211.2
0.0,0.0,0.2,0.0,0.05,0.0,1.11,4.473,0.4,0.0,9.9,5.5,LT,250.2
0.0,0.648,0.0,0.0,0.025,0.0,1.573,3.446,0.699,0.0,5,6.832,LT,238.3
0.0,0.0,0.2,0.0,0.025,0.0,1.398,3.446,0.699,0.0,0.0,6.832,LT,174.2
0.0,0.0,0.0,0.0,0.025,0.0,1.573,4.621,1.21,0.0,5.9,6.832,LT,293
0.0,0.0,0.3,0.0,0.05,0.0,1.485,3.034,0.861,0.0,6.1,8.373,LT,290.3
0.0,0.0,0.3,0.0,0.01,0.0,1.25,4.315,0.155,0.0,8.1,5.795,LT,211.4
0.0,0.0,0.3,0.0,0.05,0.0,1.485,3.034,0.861,0.0,5.9,8.373,LT,303.7
0.0,0.0,0.0,0.0,0.025,0.0,1.377,4.295,0.2,0.0,9.38,7,LT,182.3
0.0,0.0,0.0,0.0,0.025,0.0,1.485,4.23,0.304,0.0,5.9,7.879,LT,300.2
0.0,0.0,0.0,0.0,0.025,0.0,1.485,4.23,0.509,0.0,5.9,7.886,SR,243.5
0.0,0.0,0.3,0.0,0.01,0.0,1.25,4.297,0.155,0.0,5.8,5.795,LT,219.3
0.0,0.0,0.2,0.0,0.025,0.0,1.249,3.088,0.199,0.0,7.12,4.925,LT,221.9
0.0,0.0,0.1,0.0,0.025,0.0,1.398,3.446,0.699,0.0,8.3,7.879,LT,235.6
0.0,0.0,0.0,0.0,0.05,0.0,1.613,5.652,0.03,0.0,4.8,5.74,LT,331.6
0.0,0.0,0.0,0.0,0.025,0.0,1.398,3.446,0.699,0.0,7.8,7.92,LT,174.3
0.0,0.0,0.0,0.0,0.025,0.0,1.398,3.446,0.699,0.0,7.8,7.92,LT,263.7
0.0,0.0,0.15,0.0,0.05,0.0,1.358,5.451,0.2,0.0,7.1,4.83,LT,367.9
0.0,0.0,0.15,0.0,0.05,0.0,1.358,5.096,0.2,0.0,7.1,4.83,LT,242.3
0.0,0.0,0.0,0.0,0.025,0.0,1.485,4.23,0.509,0.0,5.3,7.886,LT,255.2
0.0,0.0,0.0,0.0,0.025,0.0,1.377,3.786,1,0.0,8,8,LT,252.7
0.0,0.648,0.0,0.0,0.025,0.0,1.573,3.446,0.7,0.0,5.6,6.895,LT,173.9
0.0,0.0,0.2,0.0,0.025,0.0,1.249,3.088,0.199,0.0,7.12,4.925,LT,210.5
0.0,0.83,0.3,0.0,0.05,0.0,1.485,3.034,0.861,0.0,6,8.373,SR,324
0.0,0.0,0.0,0.0,0.025,0.0,1.485,4.23,0.509,0.0,5.3,7.886,LT,246.4
